lat,long,temp,cloudiness,cloudiness_perct,humidity,wind_speed,city,country
69.01,23.04,-0.76,clear sky,1,94,4.33,kautokeino,NO
-24.79,-50.01,10.0,clear sky,0,96,2.71,castro,BR
48.6,-93.4,11.06,clear sky,1,46,3.1,fort frances,CA
13.93,41.69,25.9,broken clouds,62,51,5.32,edd,ER
53.05,158.65,2.0,shower rain,75,64,4.0,petropavlovsk-kamchatskiy,RU
40.8,140.44,15.79,broken clouds,75,71,4.1,goshogawara,JP
42.25,-75.83,11.39,clear sky,1,47,4.1,broome,US
57.31,88.17,-6.19,scattered clouds,31,96,1.07,teguldet,RU
-35.34,143.55,20.23,broken clouds,84,32,5.01,swan hill,AU
32.38,15.09,20.85,scattered clouds,32,71,3.55,misratah,LY
26.5,-100.17,17.78,clear sky,0,70,1.19,sabinas hidalgo,MX
17.08,78.2,23.75,haze,20,60,2.1,farrukhnagar,IN
-28.65,153.62,24.03,clear sky,3,56,9.3,byron bay,AU
27.9,102.26,13.14,overcast clouds,100,75,1.31,xichang,CN
48.57,83.65,1.71,clear sky,0,77,0.62,kurchum,KZ
5.95,80.54,27.96,light rain,90,78,3.57,matara,LK
8.35,100.2,31.0,few clouds,20,79,2.1,pak phanang,TH
41.14,-73.36,13.19,clear sky,1,87,3.8,westport,US
-11.78,19.92,17.02,overcast clouds,95,92,1.22,luena,AO
-22.45,18.97,17.3,clear sky,0,39,4.13,gobabis,NA
-13.46,25.83,18.79,scattered clouds,42,59,1.27,kasempa,ZM
56.98,9.64,11.29,scattered clouds,44,95,1.79,nibe,DK
33.08,-16.33,15.0,few clouds,20,62,2.6,camacha,PT
24.34,124.16,28.0,broken clouds,75,88,4.1,ishigaki,JP
37.57,126.98,14.3,haze,90,47,2.63,seoul,KR
-12.35,13.55,24.5,broken clouds,57,83,1.21,lobito,AO
7.04,134.26,29.0,overcast clouds,90,79,2.1,kloulklubed,PW
34.45,40.92,15.54,clear sky,0,59,1.65,abu kamal,SY
25.9,-97.5,21.04,clear sky,1,77,2.1,brownsville,US
-3.94,122.5,31.52,few clouds,20,57,1.86,kendari,ID
42.8,93.45,5.77,clear sky,0,50,1.55,hami,CN
13.77,109.23,24.67,moderate rain,95,92,4.63,qui nhon,VN
15.75,-84.48,23.93,overcast clouds,100,96,2.89,brus laguna,HN
59.24,163.07,1.03,clear sky,0,80,3.51,ossora,RU
17.97,-66.91,22.97,broken clouds,71,89,2.09,guanica,PR
-3.67,152.43,29.44,light rain,96,69,3.34,namatanai,PG
-23.35,47.6,22.69,light rain,92,90,3.25,vangaindrano,MG
31.81,121.66,23.03,few clouds,12,65,1.6,huilong,CN
-7.51,-63.02,25.49,broken clouds,80,81,1.93,humaita,BR
-2.92,-39.92,25.73,clear sky,8,83,5.37,itarema,BR
72.79,-56.15,-15.36,clear sky,0,84,2.26,upernavik,GL
-46.28,169.85,13.33,clear sky,3,74,7.15,kaitangata,NZ
